ARCH;Model;Power PS (mW);Power PL (mW)
512;Idle;1571.796572397792;1591.709392542085
512;MobileNet;1833.5951320967743;1862.5609012258064
512;VGG-16;2141.8091152280713;1855.174808929824
512;DenseNet-201;2252.6868606776166;1723.8416341155696
512;ResNet-50;2337.9491795124045;1664.0309422804746
1024;Idle;1717.801134605205;1589.8029377765517
1024;MobileNet;2066.2030855806456;1860.5666149354834
1024;VGG-16;2570.0679741666663;1926.7409613777784
1024;DenseNet-201;2761.4293574092585;1801.255108076734
1024;ResNet-50;3020.7758438514147;1722.186247105177
2304;Idle;2058.070454397796;1591.9012283567142
2304;MobileNet;2405.0437769310347;1879.30469162069
2304;VGG-16;3258.896036114755;2077.2376649016396
2304;DenseNet-201;3846.7524846222695;1915.6059647872767
2304;ResNet-50;4340.862398438873;1843.1953898087775
4096;Idle;2482.0602259218444;1593.6940073977942
4096;MobileNet;2826.4566514444446;1895.644920074074
4096;VGG-16;3927.6341059361703;2207.9743652553184
4096;DenseNet-201;4902.495235265492;2037.857796362833
4096;ResNet-50;5586.620259858447;1912.2540183059377
